ResourceSpeciesID,ConsumerSpeciesID,Type
6,21,Feeding
12,25,Feeding
12,44,Feeding
122,47,Feeding
127,47,Feeding
113,50,Feeding
25,51,Feeding
35,51,Feeding
44,51,Feeding
25,53,Feeding
35,53,Feeding
44,53,Feeding
12,61,Feeding
6,64,Feeding
12,64,Feeding
6,65,Feeding
12,65,Feeding
25,65,Feeding
44,65,Feeding
61,65,Feeding
64,65,Feeding
65,65,Feeding
66,65,Feeding
67,65,Feeding
68,65,Feeding
70,65,Feeding
71,65,Feeding
72,65,Feeding
73,65,Feeding
12,66,Feeding
6,67,Feeding
12,67,Feeding
25,67,Feeding
44,67,Feeding
61,67,Feeding
64,67,Feeding
65,67,Feeding
66,67,Feeding
67,67,Feeding
68,67,Feeding
70,67,Feeding
71,67,Feeding
72,67,Feeding
73,67,Feeding
6,68,Feeding
12,68,Feeding
6,70,Feeding
12,70,Feeding
25,70,Feeding
44,70,Feeding
61,70,Feeding
64,70,Feeding
65,70,Feeding
66,70,Feeding
67,70,Feeding
68,70,Feeding
70,70,Feeding
71,70,Feeding
72,70,Feeding
73,70,Feeding
12,71,Feeding
25,71,Feeding
44,71,Feeding
61,71,Feeding
64,71,Feeding
65,71,Feeding
66,71,Feeding
67,71,Feeding
68,71,Feeding
70,71,Feeding
71,71,Feeding
72,71,Feeding
73,71,Feeding
12,72,Feeding
25,72,Feeding
44,72,Feeding
61,72,Feeding
64,72,Feeding
65,72,Feeding
66,72,Feeding
67,72,Feeding
68,72,Feeding
70,72,Feeding
71,72,Feeding
72,72,Feeding
73,72,Feeding
12,73,Feeding
12,61,Feeding
12,64,Feeding
12,65,Feeding
12,66,Feeding
12,67,Feeding
12,68,Feeding
12,70,Feeding
12,71,Feeding
12,72,Feeding
12,73,Feeding
6,75,Feeding
6,79,Feeding
141,86,Feeding
143,86,Feeding
144,86,Feeding
145,86,Feeding
146,86,Feeding
147,86,Feeding
148,86,Feeding
151,86,Feeding
154,86,Feeding
155,86,Feeding
157,86,Feeding
158,86,Feeding
159,86,Feeding
161,86,Feeding
163,86,Feeding
164,86,Feeding
168,86,Feeding
169,86,Feeding
170,86,Feeding
172,86,Feeding
173,86,Feeding
174,86,Feeding
175,86,Feeding
176,86,Feeding
177,86,Feeding
178,86,Feeding
181,86,Feeding
182,86,Feeding
183,86,Feeding
187,86,Feeding
189,86,Feeding
190,86,Feeding
194,86,Feeding
197,86,Feeding
198,86,Feeding
201,86,Feeding
202,86,Feeding
204,86,Feeding
205,86,Feeding
207,86,Feeding
208,86,Feeding
209,86,Feeding
210,86,Feeding
118,87,Feeding
121,87,Feeding
141,90,Feeding
143,90,Feeding
144,90,Feeding
145,90,Feeding
146,90,Feeding
147,90,Feeding
148,90,Feeding
151,90,Feeding
154,90,Feeding
155,90,Feeding
157,90,Feeding
158,90,Feeding
159,90,Feeding
161,90,Feeding
163,90,Feeding
164,90,Feeding
168,90,Feeding
169,90,Feeding
170,90,Feeding
172,90,Feeding
173,90,Feeding
174,90,Feeding
175,90,Feeding
176,90,Feeding
177,90,Feeding
178,90,Feeding
181,90,Feeding
182,90,Feeding
183,90,Feeding
187,90,Feeding
189,90,Feeding
190,90,Feeding
194,90,Feeding
197,90,Feeding
198,90,Feeding
201,90,Feeding
202,90,Feeding
204,90,Feeding
205,90,Feeding
207,90,Feeding
208,90,Feeding
209,90,Feeding
210,90,Feeding
12,92,Feeding
6,94,Feeding
6,99,Feeding
10,99,Feeding
12,104,Feeding
93,106,Feeding
94,106,Feeding
102,106,Feeding
106,106,Feeding
109,106,Feeding
6,110,Feeding
6,94,Feeding
12,111,Feeding
12,112,Feeding
21,112,Feeding
25,112,Feeding
44,112,Feeding
61,112,Feeding
64,112,Feeding
65,112,Feeding
66,112,Feeding
67,112,Feeding
68,112,Feeding
70,112,Feeding
71,112,Feeding
72,112,Feeding
73,112,Feeding
92,112,Feeding
104,112,Feeding
6,113,Feeding
10,113,Feeding
25,113,Feeding
35,113,Feeding
44,113,Feeding
51,113,Feeding
53,113,Feeding
61,113,Feeding
64,113,Feeding
65,113,Feeding
66,113,Feeding
67,113,Feeding
68,113,Feeding
70,113,Feeding
71,113,Feeding
72,113,Feeding
73,113,Feeding
75,113,Feeding
93,113,Feeding
94,113,Feeding
93,113,Feeding
94,113,Feeding
6,114,Feeding
10,114,Feeding
16,114,Feeding
25,114,Feeding
35,114,Feeding
44,114,Feeding
50,114,Feeding
51,114,Feeding
53,114,Feeding
61,114,Feeding
64,114,Feeding
65,114,Feeding
66,114,Feeding
67,114,Feeding
68,114,Feeding
70,114,Feeding
71,114,Feeding
72,114,Feeding
73,114,Feeding
75,114,Feeding
79,114,Feeding
82,114,Feeding
99,114,Feeding
93,114,Feeding
94,114,Feeding
94,114,Feeding
113,114,Feeding
115,114,Feeding
213,114,Feeding
6,115,Feeding
10,115,Feeding
50,116,Feeding
89,116,Feeding
99,116,Feeding
100,116,Feeding
113,116,Feeding
114,116,Feeding
119,116,Feeding
122,116,Feeding
127,116,Feeding
10,118,Feeding
21,118,Feeding
25,118,Feeding
44,118,Feeding
61,118,Feeding
64,118,Feeding
65,118,Feeding
66,118,Feeding
67,118,Feeding
68,118,Feeding
70,118,Feeding
71,118,Feeding
72,118,Feeding
73,118,Feeding
92,118,Feeding
104,118,Feeding
21,119,Feeding
25,119,Feeding
44,119,Feeding
61,119,Feeding
64,119,Feeding
65,119,Feeding
66,119,Feeding
67,119,Feeding
68,119,Feeding
70,119,Feeding
71,119,Feeding
72,119,Feeding
73,119,Feeding
89,119,Feeding
99,119,Feeding
100,119,Feeding
104,119,Feeding
110,119,Feeding
89,120,Feeding
99,120,Feeding
100,120,Feeding
10,121,Feeding
25,121,Feeding
35,121,Feeding
44,121,Feeding
25,121,Feeding
44,121,Feeding
51,121,Feeding
53,121,Feeding
61,121,Feeding
64,121,Feeding
65,121,Feeding
66,121,Feeding
67,121,Feeding
68,121,Feeding
70,121,Feeding
71,121,Feeding
72,121,Feeding
73,121,Feeding
75,121,Feeding
76,121,Feeding
89,121,Feeding
92,121,Feeding
99,121,Feeding
100,121,Feeding
104,121,Feeding
110,121,Feeding
86,121,Feeding
90,121,Feeding
93,121,Feeding
94,121,Feeding
10,122,Feeding
50,122,Feeding
89,122,Feeding
99,122,Feeding
100,122,Feeding
102,122,Feeding
109,122,Feeding
110,122,Feeding
93,122,Feeding
94,122,Feeding
94,122,Feeding
111,122,Feeding
112,122,Feeding
113,122,Feeding
114,122,Feeding
115,122,Feeding
119,122,Feeding
120,122,Feeding
121,122,Feeding
211,122,Feeding
44,125,Feeding
50,125,Feeding
53,125,Feeding
64,125,Feeding
65,125,Feeding
67,125,Feeding
68,125,Feeding
70,125,Feeding
71,125,Feeding
72,125,Feeding
73,125,Feeding
